HINDI,ENGLISH
में,In
है,Is
हैं,Are
नहीं,No
लिए,For
गया,Went
तथा,And
अपने,Our
कुछ,Some
साथ,Together
होता,Would
था,Was
दिया,Gave
हुए,Has
कोई,Any
रूप,Form
से,From
मैं,I
रहा,Stayed
हुआ,Happened
बात,Talk
कहा,Said
समय,Time
क्या,What
अपनी,Own
होती,Happiness
प्रकार,Type
बहुत,Very
तरह,Kind
बाद,Afterwards
फिर,Then
रहे,are
द्वारा,By
अधिक,More
रही,doing
होने,Having
एवं,And
हुई,Hui
थे,Were
उनके,Their
थी,Was
वाले,Wale
चाहिए,Needed
दिन,Day
लेकिन,But
काम,Work
हूँ,am
इसके,Its
उन्हें,Them
गये,Gone
कभी,Sometimes
आदि,Etcetera
लोग,People
बार,Times
यहाँ,Here
दोनों,Both
उन्होंने,They
कार्य,Work
पास,Near
वहाँ,There
भारत,India
लिया,took
प्राप्त,Received
उनकी,His
लोगों,People
गयी,Gone
लगा,Put
अन्य,Other
होगा,Will happen
इसी,This 
देश,Country
यदि,If
सभी,All
नाम,Name
वर्ष,Year
ऐसा,As such
विकास,Development
अपना,My 
ऐसे,This way
दूसरे,Others
हाथ,Hand
भाषा,Language
मेरे,My
मैंने,I
तुम,You
बीच,Middle
वाली,Wali
बड़े,elder
प्रति,Per
व्यक्ति,Person
उनका,their
लिये,For
इसलिए,Therefore
तीन,Three
इसका,Its
ऐसी,Such
विशेष,Specific
बड़ी,Big
अथवा,Or
भाग,Part
क्योंकि,Because
सिंह,Lion
ठीक,Correct
परन्तु,But
स्थान,Location
यही,This only
क्यों,Why
गाँव,Village
राज्य,State
अलग,Separate
लेकर,With
अभी,Now
इसमें,In this
विभिन्न,Diverse
सी,C
जिस,That
बाहर,Outside
ऊपर,Above
बना,Made up
तैयार,Ready
अनेक,several
सामने,Front
शिक्षा,Education
शरीर,Body
होकर,In
दृष्टि,Vision
श्री,Mister
थीं,Was
दूर,Distant
शब्द,Word
ध्यान,Attention
चार,Four
मेरी,My
बड़ा,Big
पता,Address
लगता,Festive
आगे,Ahead
किया,Did
उत्तर,Answer
किन्तु,But
आने,Arrival
लगे,Logged
लगभग,About
इसे,This
लाख,Lakh
बारे,About
होना,Happen
इससे,From this
मात्रा,Quantity
अध्ययन,Study
वाला,Wave
जिसमें,In which
नीचे,Below
अर्थ,Meaning
लोक,Folk
आवश्यक,Necessary
हो,Are
माँ,Mother
छोटे,Small
प्रतिशत,Percent
शुरू,Start
अगर,If
इतना,This much
आया,Came
होगी,Will be
मिल,Mill
स्वयं,Self
रात,Night
बिना,Without
हमें,Us
उपयोग,Use
महत्वपूर्ण,Important
मुख्य,Important
साल,Year
ज्यादा,More
साहित्य,Literature
पूर्व,East
निर्माण,Construction
विषय,Subject
जिससे,By which
देख,See
चित्र,Picture
प्रत्येक,Everyone
मनुष्य,Human
गई,Went
स्पष्ट,Obvious
दिनों,Days
रंग,Colour
इसकी,his
स्तर,level
मेरा,My
दूसरी,Second
अच्छा,Good
रोग,Disease
काल,Era
अच्छी,Good
विज्ञान,Science
भाई,Brother
ज्ञान,Knowledge
दिल्ली,Delhi
बनाने,Make
रुपये,Rupees
रखा,kept
आवश्यकता,Need
आता,Comes
कौन,Who
हों,Ho
आर्थिक,Economic
सहायता,Help
अतिरिक्त,Excessive
देर,Late
तरफ,Side
लेने,Take
चला,walked
सामाजिक,Social
समझ,Understanding
मगर,But
आते,Come
बच्चे,Children
कला,Art
पत्र,Letter
भीतर,Inner
संस्कृति,Culture
उनमें,In those
वर्ग,Social class
विभाग,Department
चाहता,Want
सिर,Head
बताया,told
जगह,Place
वही,Same
इतनी,So much
स्थापित,Established
राष्ट्रीय,National
स्वर,Vocal
क्षेत्रों,Areas
जिसके,Whose
जन्म,Birth
जाए,Go
दौरान,during
गांधी,Gandhi
हाँ,Yes
जनता,public
किस,What
केन्द्र,Center
साहब,Sir
पूर्ण,Complete
पुलिस,Police
बोला,spoke
थईआ,Thiaia
कमी,Shortage
समस्या,Problem
कार्यक्रम,Program
विवाह,Marriage
भूमि,Earth
भाव,Rate
देखकर,after seeing
करोड़,Ten million
प्रथम,First
मूल,Original
परिवर्तन,Change
बच्चों,Children
लाभ,Benefit
प्रदान,Grant
आये,Come
छोटी,Small
स्त्री,Woman
सेवा,Service
व्यवहार,Behaviour
राम,Ram
रचना,Composition
की,Did
भिन्न,Different
मिट्टी,Soil
देशों,Countries
इनके,Their
आती,Come
सही,Correct
उपलब्ध,Available
बल्कि,Rather
प्राय,At the time
बिजली,Electricity
लेते,Take
जान,Life
बढ़,Enhancement
सारे,all
शायद,Perhaps
सरकारी,Government
पड़,Fall
चुका,Repayed
पड़ा,Lying
विधि,Method
छोड़,leave
लिखा,wrote
जबकि,Whereas
सिर्फ,Only
दर्शन,Visit
प्रक्रिया,Process
दिखाई,Visible
कुल,Total
शब्दों,Words
लाल,Red
निकल,Out
नये,New
रखने,Keep
पंजाब,Punjab
नदी,River
गए,Went
मृत्यु,Death
स्वीकार,Accept
अन्तरिक्ष,Space
आकर,Size
याद,Memory
उठा,picking
दूध,Milk
कांग्रेस,Congress
सारी,all
माध्यम,Channel
दूसरा,Second
संबंध,Relation
जिन,Ginnie
चाहे,whether
चाहते,Want
प्रणाली,System
तभी,Only
होंगे,Will be
इनमें,In
सन,Sun
मान,Value
पुत्र,Son
उद्देश्य,Objective
विश्वास,Belief
पिछले,last
ताकि,So that
निश्चित,Fixed
जानकारी,Information
नेता,Leader
बालक,Boy
अन्त,End
उचित,Appropriate
संगीत,music
जल्दी,Quick
क्षमता,Capacity
हजार,Thousand
जाएगा,Will go
बनाया,Make
पति,Husband
कोशिश,Effort
चुके,Sailed
खाने,Eating
फसल,Crop
प्रकृति,Nature
पौधों,Plants
प्रकट,Revealed
पक्ष,Party
नीति,Policy
यद्यपि,Although
मात्र,Only
भारी,Heavy
पुस्तकालय,Library
चले,Let's go
समिति,Committee
सामग्री,Material
चाहिये,Want
अन्तर्गत,Under
माल,Goods
शामिल,Involved
बोली,Dialect
उनसे,With them
अपेक्षा,Expectation
हेतु,For
नगर,City
दिये,Lamp
सम्बन्धी,Related
पुस्तक,Book
खुद,Self
वर्णन,Description
बने,Made up
जोर,Loser
करें,Do
जिनमें,In which
लक्षण,Symptom
नामक,Nominal
वहीं,There itself
तुम्हारे,Your
विश्व,World
शासन,Government
वैसे,By the way
युग,Era
बैठ,Seated
स्थापना,Establishment
अर्थात,In other words
सारा,All
लेता,Take
लगती,Looks like
शैली,Style
लें,Take
पार्टी,Party
गीत,Song
अवसर,Occasion
युद्ध,Warning
मालूम,Known
चारों,All four
प्रकाश,Light
जायेगा,will go
बैठे,Seated
तुम्हें,You
समाप्त,End
साफ,Clean
धार्मिक,Religious
ताप,Heat
उल्लेख,Mention
वर्तमान,Current
लेना,Take
इनका,Their
विकसित,advanced
बन्द,Off
प्रसिद्ध,Famous
विशिष्ट,Specific
प्रेम,Love
चली,Sustainable
भावना,Emotion
चलता,On
सिद्ध,Proven
वालों,People
चित्रों,Paintings
पुरुष,Male
पदार्थ,Substance
चर्चा,Discussion
खाना,Eat
उच्च,High
इतने,So much
दी,Gave
दिए,Given
सीमा,Limit
वस्तु,Thing
पड़ी,Lying
गति,Speed
अत्यन्त,Extremely
संगठन,Organization
कितना,How much
इस्तेमाल,Use
बाबा,Dad
प्रकाशित,Published
ढंग,behaviour
अधिकार,Right
उधर,There
पड़े,Lying
सके,Sustain
सूचना,Information
अंग्रेजी,English
सुन्दर,Beautiful
पुनः,Again
केंद्रीय,Central
आधुनिक,Modern
शहर,City 
प्रधानमंत्री,Prime Minister
ब्राह्मण,Brahmin
उनको,For them
महीने,Month
अच्छे,Good
हवा,Air
शाम,Evening
इधर,here
संसार,World
विरोध,Oppose
रखना,Keep
प्रशिक्षण,Training
संघ,Federation
बनी,Made
पृथ्वी,Earth
ऊर्जा,energy
हमने,We
वास्तविक,Real
सहयोग,Cooperation
तेल,Oil
अवधि,Duration
सात,Seven
लगते,Felt
मार्ग,Way
बंद,Close
प्रचलित,Prevailing
संघर्ष,Conflict
दिशा,Direction
स्थित,Located
बैठा,sat
वर्षों,Years
अधिकांश,majority of
शादी,Marriage
वातावरण,Climate
तुलना,Compare
राजीव,Rajeev
साधारण,Simple
सम्पूर्ण,total
राजस्थान,Rajasthan
सफल,Success
कितने,How many?
वापस,Back
मानसिक,Mental
परम्परा,Tradition
बोले,Speak
बीज,Seed
खेल,Play
अंग,Organ
बैठक,meeting
जरूरत,Need
ग्रामीण,Rural
इनकी,Their
कथा,Story
आयु,age
बातचीत,Conversation
प्रभावित,Affected
निर्धारित,Determined
निकाल,Out
घटना,Event
कितनी,How many
कवि,Poet
रक्त,blood
बालकों,Boys
किसान,Farmer
इच्छा,Desire
आयी,Come
बजे,time
चेहरे,Face
आकार,Shape
हृदय,Heart
राज,Rule
मार,Kill
चुकी,Tailor
यात्रा,Travel
नष्ट,Destroyed
खेती,Farming
सुबह,Morning
नयी,New
जिन्हें,Whom
आरम्भ,Launch
सुनकर,Hearing
वायु,Air
नजर,vision
थोड़ा,Little
खाली,Empty
ॐ,ॐ
खोज,Search
एकदम,At once
व्यक्तियों,Individuals
राजनीतिक,Political
आँखें,eyes
संबंधित,Connected
तेज,Quick
जरा,just
व्यक्तित्व,Persona
बदल,change
सवाल,Question
उपभोक्ता,Consumer
उपज,Yield
सुख,Happiness
मानते,Believe
मकान,House
तेजी,Rapid
जुलाई,july
प्रयत्न,try
देवता,God
जानते,Know
कपड़े,Clothes
संभव,possible
सकता,Can
मदद,Help
वास्तव,Reality
निकट,Close
चलते,Go
बाकी,Balance
सोच,Thinking
समस्त,All
सदस्य,Member
कठिन,Difficult
अरे,Hey
राज्यों,States
नया,New
सीधे,Straight
फूल,Flower
किस्म,Variety
अभाव,Lack
जरूरी,Necessary
सेना,Army
श्रम,Labor
विदेशी,Foreigner
बाल,Hair
पुराने,Old
किंतु,But
विस्तार,Expansion
जाएगी,Will go
छोटा,Small
वनस्पति,Vegetable
खर्च,Expenditure
पार,Cross
अधिकारी,Officer
चलने,Walking
आशा,Hope
सुधार,Improvement
विशाल,Huge
पूर्ति,Supply
डाल,Branch
जानता,knows
महसूस,Feel
बोल,Lyrics
प्रतीत,Appear
अध्यक्ष,President
सीखने,Learn
वर्ण,Character
व्यापक,Comprehensive
भविष्य,Future
ध्वनि,Sound
प्रयुक्त,Used
प्रचार,Publicity
प्यार,Dear
शेष,Remanent
मार्च,march
दुनिया,World
ख्याल,Care
प्रगति,Progress
गैस,Gas
लगातार,Continuous
तौर,Form
उन्हीं,They
सुरक्षित,Safe
सभा,Meeting
लौट,Back
लागत,Cost
बनाये,Made
दर्द,Pain
आखिर,Finally
सोचा,Think
दें,Give
चीज,Thing
कल्पना,Imagination
लक्ष्य,Target
चाय,Tea
खूब,Plenty
श्रीमती,Mrs
लाने,Bring
मुक्त,Free
बुद्धि,Intelligence
पश्चिम,West
खेत,Farm
होनी,Having
चाहती,Want
उपयुक्त,Suitable
अंत,Ending
साधन,Resource
संकेत,Signal
वस्तुओं,Objects
मामले,Case
बनाकर,By making
सहज,Simple
सदा,Always
शारीरिक,Body
पकड़,grasp
उपाय,Measure
संस्थान,Institute
सफलता,Success
बाबू,Baboo
तुम्हारी,Your
भूल,Mistake
आत्मा,Soul
विचारों,Ideas
रखी,Laid
भूमिका,Role
पैर,Feet
करे,Do
हाथों,Hand
भवन,Building
नियम,Rule
दिल,Heart
तकनीकी,technology
जिसकी,Whose
शिशु,Infant
व्यय,Expense
पेट,Abdomen
नींद,Sleep
नेताओं,Leaders
अंदर,Inside
लागू,Applicable
बनने,Form
त्वचा,skin
गायन,Singing
राजनीति,Politics
जमा,Deposit
सुविधा,Facility
बोर्ड,Board
कानून,Law
शुरु,Start
लेखक,Author
बावजूद,Despite
क्रम,Order
लगने,Settling
तुमने,You
हाल,Condition
सम्भव,Probable
स्टेशन,station
अगले,Next
रास्ते,Gesture
मस्तिष्क,Brain
गर्म,warm
संबंधी,relative
यानी,i.e
पुरानी,Old
चित्रण,Illustration
अधिकारियों,Officers
संस्कृत,Sanskrit
सुन,Listen
युवक,young boy
पाठ,"Lesson, "
स्थानों,Places
वर्षा,Rain
रखकर,By keeping
पशु,Animal
किसानों,Farmers
सत्ता,Power
प्राप्ति,Receipt
दवा,Medicine
खास,Special
कमेटी,Committee
अंक,Number
हानि,Loss
सरल,Easy
सिंचाई,Irrigation
शिकार,Hunt
वृक्ष,Tree
करेंगे,do
औद्योगिक,Industrial
आधारित,based
हत्या,the killing
सहकारी,Co -operative
विवरण,Description
रोज,Daily
मुझसे,Me
आना,To come
मौसम,Season
आँखों,Eyes
शुद्ध,Pure
भेद,Difference
विपरीत,Adverse
लम्बी,Long
बनाना,Make
दृष्टिकोण,Approach
गलत,Wrong
समर्थन,Support
सम्मेलन,conference
सचमुच,Really
बुद्ध,Buddha
बच्चा,Child
दीवार,Wall
आंखों,Eyes
अध्याय,Chapter
अत्यधिक,Excessive
सहित,Including
योग,Yoga
मुख,Face
बिहार,A state in Eastern India
काव्य,Poetry
सिद्धांत,Principle
सार्वजनिक,Public
लघु,Small
बता,Tell
परस्पर,mutual
तार,Wire
चूर्ण,Powder
आयोजन,events
सांस्कृतिक,Cultural
समझने,To understand
वाद्य,Instrument
प्रतीक,Sign 
तुम्हारा,Your
छात्र,Student
चुप,Silent
अक्सर,Often
जायेगी,Will go
रखे,Keep
भार,Burden
फलों,Fruit
जीवित,alive
आजकल,Nowadays
विस्तृत,Detailed
गिर,Fir
गुरू,Guru
उतर,North
अमेरिका,America
सुना,heard
स्थानीय,local
विषयों,Subjects
घंटे,hours
कराने,Conduct
उतना,As much as
शताब्दी,Century
व्यवसाय,Business
मंदिर,Temple
परिचय,Introduction
गांवों,Villages
बाँध,dam
निश्चय,Determination
उपकरण,Device
आतंकवादियों,Militant
वैदिक,Vedic
भागों,Parts
अंश,Part
सूत्र,Formula
विविध,various
बारह,Twelve
फलस्वरूप,Consequently
काट,cutting
अधिकतर,mostly
स्वाभाविक,Natural
वाक्य,Sentence
बैठी,Sitting
परिस्थितियों,Circumstances
सूर्य,Sun
शत्रु,enemy
पत्तियों,Leaves
नियोजन,Planning
ग्रन्थ,Book
कही,Somewhere
उम्र,Age
अग्नि,Fire
सिख,Sikh
बाप,Father
पाकिस्तान,Pakistan
पश्चात्,Back
चिन्ता,Fanciful
आयोजित,Held
यहीं,Right here
वाद्यों,Instruments
मुसलमान,Muslim
भेज,Sending
बैंक,Bank
नारी,Woman
अंतिम,Last
समुद्र,Sea
संग्रह,Collection
लेती,Take
दृश्य,Scene
खाद,Fertilizer
आलोचना,Criticism
हैक्टर,Hectare
विरोधी,Opponent
पश्चिमी,Western
धान,Rice 
डाक,Post
कदम,step
आकाश,Sky
स्थायी,Permanent
वितरण,Distribution
वंश,Linage
रोक,Stoppage
प्रेरणा,Inspiration
चीनी,Sugar
औरत,women
अप्रैल,april
अनिवार्य,Mandatory
सकें,Can
महिला,Woman
पहचान,Identification
क्रमशः,Respectively
सैनिक,Soldier
वजह,Reason
लकड़ी,Wood
रुपये,Rupees
बढ़ा,Raised
पीठ,Back
पाई,Pie
डाक्टर,Doctor
वीं,Gentleman
माननीय,Honorable
मूल्यांकन,Evaluation
गाय,Cow
क्षण,Moment
हालत,Condition
संदर्भ,Reference
बीस,Twenty
दोष,Shortcoming
जीव,Creature
चित्रित,Painted
खान,Mine
खुशी,Happiness
रोजगार,employment
रिपोर्ट,Report
मंत्रालय,Ministry
प्राथमिक,primary
प्रदर्शित,Displayed
धारणा,perception
ताल,rythm
जंगल,Forest
सका,could
यान,Vault
उपक्रम,Enterprise
अंकित,Ankit
शिव,Shiva
त्याग,Sacrifice
जिसने,Whosoever
गरम,Hot
समाचार,news
शाखा,branch
बुरी,Bad
डाला,Pouring
जून,june
ज्ञात,Known
गर्भ,Pregnancy
कर्मचारियों,Employees
मामलों,Matters
बजाय,instead
तरीके,Manner
आदर्श,Ideal
हिस्सा,Part
संरचना,structure
स्पर्श,Touch
जनवरी,January
चित्रकला,drawing
चरित्र,Character
क्षेत्रीय,Regional
क्यू,Why
रखता,Keeps
बिक्री,Sales
पुस्तकों,Books
निर्मित,made
जैन,Jain
गले,Throat
ग्रा,Gram
खराब,Bad
करो,Do
कक्षा,Class
आश्चर्य,Wonder
रास्ता,Way 
युक्त,Rich
बनाए,Make
बेटा,Son
बेटे,Son
प्रबन्ध,Managing
निम्नलिखित,Following
चेहरा,face
अर्जुन,Arjuna
सम्मान,Respect
यथार्थ,Reality
बहू,Daughter in law
ध्वनियों,Sounds
जिन्होंने,Who
छाया,Shadow
खबर,News
संकट,crisis
बेटी,Daughter
पशुओं,Animals
अति,Extreme
समझता,Understand
रोकने,Stop
भक्ति,Devotion
दशा,Condition
चलती,On the moving
घास,Grass
कथन,statement
सामान,Belongings
मजदूरी,Labour
भरी,Stuffed
बिलकुल,Absolutely
दूसरों,Others
गरीब,Poor
अस्तित्व,Existence
अकेले,Lonely
सौन्दर्य,Beauty
साहसी,Daring
समझते,Understand
विद्युत,Electricity
लिखी,Written
नाटक,Drama
धूप,Sunlight
दरवाजे,Doors
कमजोर,Weak
आदत,Habit
सम्प्रदाय,Sect
शोध,Research
वीर,Daring
रुपया,Rupee
मौत,Death
भले,Good
प्रसन्न,Happy
निजी,Personal
जातियों,Castes
गीतों,Songs
कीट,Insect
उतनी,So much
